id_evento,fecha,turno,linea,tiempo_respuesta_min,tipo_evento
E001,2025-01-06,Mañana,Formado,24.30,Desviación velocidad
E002,2025-01-06,Mañana,Sellado,18.75,Alarma presión
E003,2025-01-06,Tarde,Corte,28.60,Falla sensor
E004,2025-01-06,Noche,Formado,21.40,Producto defectuoso
E005,2025-01-07,Mañana,Sellado,32.85,Desviación temperatura
E006,2025-01-07,Tarde,Corte,16.20,Alarma velocidad
E007,2025-01-07,Noche,Formado,26.50,Falla mecánica
E008,2025-01-08,Mañana,Sellado,19.90,Producto defectuoso
E009,2025-01-08,Tarde,Corte,29.40,Desviación presión
E010,2025-01-08,Noche,Formado,17.65,Alarma sensor
E011,2025-01-09,Mañana,Sellado,35.20,Falla eléctrica
E012,2025-01-09,Tarde,Corte,22.30,Desviación velocidad
E013,2025-01-09,Noche,Formado,25.80,Producto defectuoso
E014,2025-01-10,Mañana,Sellado,20.45,Alarma temperatura
E015,2025-01-10,Tarde,Corte,27.95,Falla hidráulica
E016,2025-01-10,Noche,Formado,23.10,Desviación calidad
E017,2025-01-11,Mañana,Sellado,18.60,Alarma presión
E018,2025-01-11,Tarde,Corte,31.75,Falla sensor
E019,2025-01-11,Noche,Formado,26.20,Producto defectuoso
E020,2025-01-12,Mañana,Sellado,21.85,Desviación velocidad
E021,2025-01-13,Tarde,Corte,29.50,Alarma nivel
E022,2025-01-13,Noche,Formado,24.40,Falla mecánica
E023,2025-01-13,Mañana,Sellado,19.25,Desviación temperatura
E024,2025-01-14,Tarde,Corte,33.60,Falla eléctrica
E025,2025-01-14,Noche,Formado,22.70,Producto defectuoso
E026,2025-01-14,Mañana,Sellado,27.80,Alarma presión
E027,2025-01-15,Tarde,Corte,17.40,Desviación velocidad
E028,2025-01-15,Noche,Formado,24.95,Falla sensor
E029,2025-01-15,Mañana,Sellado,34.50,Falla hidráulica
E030,2025-01-16,Tarde,Corte,21.15,Producto defectuoso
E031,2025-01-16,Noche,Formado,26.85,Alarma temperatura
E032,2025-01-16,Mañana,Sellado,20.60,Desviación calidad
E033,2025-01-17,Tarde,Corte,30.25,Falla mecánica
E034,2025-01-17,Noche,Formado,18.90,Alarma velocidad
E035,2025-01-17,Mañana,Sellado,25.40,Desviación presión
E036,2025-01-18,Tarde,Corte,32.10,Falla eléctrica
E037,2025-01-18,Noche,Formado,22.55,Producto defectuoso
E038,2025-01-18,Mañana,Sellado,19.80,Alarma sensor
E039,2025-01-19,Tarde,Corte,28.70,Desviación velocidad
E040,2025-01-20,Noche,Formado,24.20,Falla hidráulica
E041,2025-01-20,Mañana,Sellado,18.95,Alarma temperatura
E042,2025-01-20,Tarde,Corte,33.85,Falla mecánica
E043,2025-01-20,Noche,Formado,21.60,Producto defectuoso
E044,2025-01-21,Mañana,Sellado,27.30,Desviación calidad
E045,2025-01-21,Tarde,Corte,16.75,Alarma presión
E046,2025-01-21,Noche,Formado,25.90,Falla sensor
E047,2025-01-22,Mañana,Sellado,36.40,Falla eléctrica
E048,2025-01-22,Tarde,Corte,23.10,Desviación velocidad
E049,2025-01-22,Noche,Formado,20.55,Producto defectuoso
E050,2025-01-23,Mañana,Sellado,29.80,Alarma nivel
E051,2025-01-23,Tarde,Corte,18.25,Falla mecánica
E052,2025-01-23,Noche,Formado,25.65,Desviación temperatura
E053,2025-01-24,Mañana,Sellado,31.90,Falla hidráulica
E054,2025-01-24,Tarde,Corte,21.40,Producto defectuoso
E055,2025-01-24,Noche,Formado,26.75,Alarma velocidad
E056,2025-01-25,Mañana,Sellado,19.50,Desviación presión
E057,2025-01-25,Tarde,Corte,28.95,Falla sensor
E058,2025-01-25,Noche,Formado,24.30,Alarma temperatura
E059,2025-01-26,Mañana,Sellado,18.10,Producto defectuoso
E060,2025-01-27,Tarde,Corte,32.60,Falla eléctrica
E061,2025-01-27,Noche,Formado,22.85,Desviación calidad
E062,2025-01-27,Mañana,Sellado,27.45,Alarma presión
E063,2025-01-28,Tarde,Corte,17.20,Falla mecánica
E064,2025-01-28,Noche,Formado,25.40,Desviación velocidad
E065,2025-01-28,Mañana,Sellado,34.75,Falla hidráulica
E066,2025-01-29,Tarde,Corte,20.90,Producto defectuoso
E067,2025-01-29,Noche,Formado,26.55,Alarma sensor
E068,2025-01-29,Mañana,Sellado,22.15,Desviación temperatura
E069,2025-01-30,Tarde,Corte,30.40,Falla eléctrica
E070,2025-01-30,Noche,Formado,18.65,Alarma velocidad
E071,2025-01-30,Mañana,Sellado,24.80,Producto defectuoso
E072,2025-01-31,Tarde,Corte,33.20,Falla mecánica
E073,2025-01-31,Noche,Formado,20.35,Desviación presión
E074,2025-01-31,Mañana,Sellado,28.60,Alarma temperatura
E075,2025-02-01,Tarde,Corte,17.85,Falla sensor
E076,2025-02-01,Noche,Formado,26.10,Producto defectuoso
E077,2025-02-01,Mañana,Sellado,35.50,Falla eléctrica
E078,2025-02-02,Tarde,Corte,22.70,Desviación calidad
E079,2025-02-02,Noche,Formado,27.95,Alarma presión
E080,2025-02-02,Mañana,Sellado,19.40,Falla hidráulica
E081,2025-02-03,Tarde,Corte,31.85,Desviación velocidad
E082,2025-02-03,Noche,Formado,21.50,Producto defectuoso
E083,2025-02-03,Mañana,Sellado,26.30,Alarma sensor
E084,2025-02-03,Tarde,Corte,16.95,Falla mecánica
E085,2025-02-04,Noche,Formado,29.65,Desviación temperatura
E086,2025-02-04,Mañana,Sellado,23.25,Alarma velocidad
