id_decision,fecha,responsable,turno,tipo_decision,decision_informada
D001,2025-01-06,R01,Mañana,Planificada,1
D002,2025-01-06,R02,Mañana,Rutinaria,1
D003,2025-01-06,R03,Tarde,Urgente,1
D004,2025-01-06,R04,Noche,Rutinaria,1
D005,2025-01-07,R05,Mañana,Planificada,1
D006,2025-01-07,R02,Mañana,Urgente,0
D007,2025-01-07,R06,Tarde,Rutinaria,1
D008,2025-01-07,R07,Noche,Urgente,1
D009,2025-01-08,R01,Mañana,Rutinaria,1
D010,2025-01-08,R03,Tarde,Planificada,1
D011,2025-01-08,R04,Noche,Urgente,0
D012,2025-01-09,R08,Mañana,Planificada,1
D013,2025-01-09,R02,Mañana,Rutinaria,1
D014,2025-01-09,R05,Tarde,Urgente,1
D015,2025-01-09,R06,Noche,Rutinaria,1
D016,2025-01-10,R01,Mañana,Planificada,1
D017,2025-01-10,R07,Tarde,Urgente,0
D018,2025-01-10,R03,Noche,Rutinaria,1
D019,2025-01-11,R04,Mañana,Planificada,1
D020,2025-01-11,R02,Tarde,Rutinaria,1
D021,2025-01-11,R08,Noche,Urgente,1
D022,2025-01-12,R05,Mañana,Rutinaria,1
D023,2025-01-13,R06,Tarde,Planificada,1
D024,2025-01-13,R01,Noche,Urgente,0
D025,2025-01-13,R07,Mañana,Rutinaria,1
D026,2025-01-14,R03,Tarde,Planificada,1
D027,2025-01-14,R04,Noche,Urgente,1
D028,2025-01-14,R02,Mañana,Rutinaria,1
D029,2025-01-15,R08,Tarde,Urgente,0
D030,2025-01-15,R05,Noche,Planificada,1
D031,2025-01-15,R06,Mañana,Rutinaria,1
D032,2025-01-16,R01,Tarde,Urgente,1
D033,2025-01-16,R07,Noche,Planificada,1
D034,2025-01-16,R03,Mañana,Rutinaria,1
D035,2025-01-17,R04,Tarde,Urgente,0
D036,2025-01-17,R02,Noche,Rutinaria,1
D037,2025-01-17,R08,Mañana,Planificada,1
D038,2025-01-18,R05,Tarde,Rutinaria,1
D039,2025-01-18,R06,Noche,Urgente,1
D040,2025-01-18,R01,Mañana,Planificada,1
D041,2025-01-19,R07,Tarde,Urgente,0
D042,2025-01-19,R03,Noche,Rutinaria,1
D043,2025-01-19,R04,Mañana,Planificada,1
D044,2025-01-20,R02,Tarde,Rutinaria,1
D045,2025-01-20,R08,Noche,Urgente,1
D046,2025-01-20,R05,Mañana,Planificada,1
D047,2025-01-21,R06,Tarde,Rutinaria,1
D048,2025-01-21,R01,Noche,Urgente,0
D049,2025-01-21,R07,Mañana,Planificada,1
D050,2025-01-22,R03,Tarde,Rutinaria,1
D051,2025-01-22,R04,Noche,Urgente,1
D052,2025-01-22,R02,Mañana,Rutinaria,1
D053,2025-01-23,R08,Tarde,Planificada,1
D054,2025-01-23,R05,Noche,Urgente,0
D055,2025-01-23,R06,Mañana,Rutinaria,1
D056,2025-01-24,R01,Tarde,Planificada,1
D057,2025-01-24,R07,Noche,Urgente,1
D058,2025-01-24,R03,Mañana,Rutinaria,1
D059,2025-01-25,R04,Tarde,Planificada,1
